# SYNTHETIC DATA — generated by src/generate_data.py. NOT REAL.
# RANDOM_SEED=42
# date range: 2022-01-01 to 2024-12-31 (1096 daily rows)
date,sales,baseline,trend,weekly,annual,events,mu,is_match_day,match_importance,is_bank_holiday,holiday_name
2022-01-01,5055.95,2500.0,0.0,1300.0,336.1957,446.2257,4582.4214,1,0.0852,1,New Year's Day
2022-01-02,3337.84,2500.0,0.2464,100.0,321.8725,0.0,2922.1189,0,0.0,0,
2022-01-03,2353.56,2500.0,0.4928,-700.0,306.8748,421.4735,2528.8411,0,0.0,1,New Year's Day (observed)
2022-01-04,1994.24,2500.0,0.7392,-800.0,291.286,0.0,1992.0252,0,0.0,0,
2022-01-05,2420.82,2500.0,0.9856,-500.0,275.1949,142.456,2418.6365,1,0.1076,0,
2022-01-06,2539.84,2500.0,1.232,-200.0,258.6941,0.0,2559.9262,0,0.0,0,
2022-01-07,3359.31,2500.0,1.4784,800.0,241.8798,0.0,3543.3582,0,0.0,0,
2022-01-08,3870.76,2500.0,1.7248,1300.0,224.8501,366.2558,4392.8308,1,0.2427,0,
2022-01-09,2830.51,2500.0,1.9713,100.0,207.7046,0.0,2809.6759,0,0.0,0,
2022-01-10,1870.27,2500.0,2.2177,-700.0,190.5433,0.0,1992.7609,0,0.0,0,
2022-01-11,1888.83,2500.0,2.4641,-800.0,173.465,0.0,1875.9291,0,0.0,0,
2022-01-12,2022.11,2500.0,2.7105,-500.0,156.567,0.0,2159.2775,0,0.0,0,
2022-01-13,2227.99,2500.0,2.9569,-200.0,139.9436,0.0,2442.9004,0,0.0,0,
2022-01-14,3491.12,2500.0,3.2033,800.0,123.6849,0.0,3426.8882,0,0.0,0,
2022-01-15,4348.36,2500.0,3.4497,1300.0,107.8766,385.1598,4296.4861,1,0.2784,0,
2022-01-16,2821.25,2500.0,3.6961,100.0,92.5983,0.0,2696.2944,0,0.0,0,
2022-01-17,2210.95,2500.0,3.9425,-700.0,77.9234,0.0,1881.8659,0,0.0,0,
2022-01-18,1807.33,2500.0,4.1889,-800.0,63.9178,0.0,1768.1067,0,0.0,0,
2022-01-19,2134.83,2500.0,4.4353,-500.0,50.6395,0.0,2055.0749,0,0.0,0,
2022-01-20,2140.86,2500.0,4.6817,-200.0,38.1386,0.0,2342.8203,0,0.0,0,
2022-01-21,2988.41,2500.0,4.9281,800.0,26.4562,0.0,3331.3843,0,0.0,0,
2022-01-22,4577.77,2500.0,5.1745,1300.0,15.6244,242.4588,4063.2578,1,0.1117,0,
2022-01-23,2418.18,2500.0,5.4209,100.0,5.6668,0.0,2611.0878,0,0.0,0,
2022-01-24,1651.75,2500.0,5.6674,-700.0,-3.4024,0.0,1802.2649,0,0.0,0,
2022-01-25,1689.04,2500.0,5.9138,-800.0,-11.5776,0.0,1694.3361,0,0.0,0,
2022-01-26,1972.96,2500.0,6.1602,-500.0,-18.8618,0.0,1987.2984,0,0.0,0,
2022-01-27,2116.44,2500.0,6.4066,-200.0,-25.2659,0.0,2281.1407,0,0.0,0,
2022-01-28,3195.92,2500.0,6.653,800.0,-30.8086,0.0,3275.8444,0,0.0,0,
2022-01-29,4560.8,2500.0,6.8994,1300.0,-35.5156,381.0262,4152.41,1,0.2906,0,
2022-01-30,2547.69,2500.0,7.1458,100.0,-39.419,155.5588,2723.2856,1,0.098,0,
2022-01-31,1757.59,2500.0,7.3922,-700.0,-42.5563,213.3037,1978.1396,1,0.3851,0,
2022-02-01,1788.05,2500.0,7.6386,-800.0,-44.9701,0.0,1662.6685,0,0.0,0,
2022-02-02,2038.42,2500.0,7.885,-500.0,-46.7068,0.0,1961.1782,0,0.0,0,
2022-02-03,2148.11,2500.0,8.1314,-200.0,-47.8163,0.0,2260.3151,0,0.0,0,
2022-02-04,2847.39,2500.0,8.3778,800.0,-48.3507,0.0,3260.0271,0,0.0,0,
2022-02-05,3793.82,2500.0,8.6242,1300.0,-48.3637,273.8696,4034.1302,1,0.1563,0,
2022-02-06,2549.75,2500.0,8.8706,100.0,-47.9097,0.0,2560.961,0,0.0,0,
2022-02-07,2055.72,2500.0,9.117,-700.0,-47.0433,118.2975,1880.3713,1,0.1292,0,
