model,fold,n_train,train_end,test_start,test_end,mae,rmse,mase
SeasonalNaive,0,914,2024-07-02,2024-07-03,2024-07-09,137.6657142857142,170.5778671792696,0.44116531473040665
SeasonalNaive,1,921,2024-07-09,2024-07-10,2024-07-16,193.85571428571433,208.64256773589756,0.6239027609612686
SeasonalNaive,2,928,2024-07-16,2024-07-17,2024-07-23,301.8571428571428,374.1357761180137,0.9742781590570285
SeasonalNaive,3,935,2024-07-23,2024-07-24,2024-07-30,121.52000000000005,158.5319799193301,0.39229569451612534
SeasonalNaive,4,942,2024-07-30,2024-07-31,2024-08-06,364.1285714285714,534.8037272548821,1.180866868966086
SeasonalNaive,5,949,2024-08-06,2024-08-07,2024-08-13,296.7257142857143,472.07883981386,0.960988201158632
SeasonalNaive,6,956,2024-08-13,2024-08-14,2024-08-20,251.0414285714285,323.4733854585257,0.8132672036357972
SeasonalNaive,7,963,2024-08-20,2024-08-21,2024-08-27,298.10714285714283,316.7952894445965,0.967062307648422
SeasonalNaive,8,970,2024-08-27,2024-08-28,2024-09-03,361.94714285714275,431.8665516601825,1.174441041197692
SeasonalNaive,9,977,2024-09-03,2024-09-04,2024-09-10,200.48571428571412,249.18719085401287,0.6497153535724116
SeasonalNaive,10,984,2024-09-10,2024-09-11,2024-09-17,276.86000000000007,316.98954588440296,0.8994794341662711
SeasonalNaive,11,991,2024-09-17,2024-09-18,2024-09-24,340.46999999999997,419.2237752424967,1.1069309814049064
SeasonalNaive,12,998,2024-09-24,2024-09-25,2024-10-01,293.2871428571428,427.7313422999468,0.9528111083773746
SeasonalNaive,13,1005,2024-10-01,2024-10-02,2024-10-08,395.9757142857144,505.22142889458473,1.2868446053942917
SeasonalNaive,14,1012,2024-10-08,2024-10-09,2024-10-15,274.7985714285715,381.03441492487633,0.8912616196165271
SeasonalNaive,15,1019,2024-10-15,2024-10-16,2024-10-22,281.38142857142856,311.87465249909064,0.9132989090988465
SeasonalNaive,16,1026,2024-10-22,2024-10-23,2024-10-29,170.20285714285714,243.7453161454742,0.552768255063823
SeasonalNaive,17,1033,2024-10-29,2024-10-30,2024-11-05,402.58714285714296,532.1013851970049,1.3114850143724546
SeasonalNaive,18,1040,2024-11-05,2024-11-06,2024-11-12,269.6971428571429,308.33581006984673,0.8767263513986924
SeasonalNaive,19,1047,2024-11-12,2024-11-13,2024-11-19,256.4157142857143,348.44431735931636,0.8342435295143797
SeasonalNaive,20,1054,2024-11-19,2024-11-20,2024-11-26,283.2599999999999,303.84660363883785,0.9226033276821105
SeasonalNaive,21,1061,2024-11-26,2024-11-27,2024-12-03,454.47571428571416,567.1525656797673,1.4810296054703433
SeasonalNaive,22,1068,2024-12-03,2024-12-04,2024-12-10,497.65714285714284,550.6926229239476,1.616617215448298
SeasonalNaive,23,1075,2024-12-10,2024-12-11,2024-12-17,251.5928571428571,302.0172378003802,0.8139984938172324
SeasonalNaive,24,1082,2024-12-17,2024-12-18,2024-12-24,209.0385714285715,256.8981816929479,0.6771393422512139
SeasonalNaive,25,1089,2024-12-24,2024-12-25,2024-12-31,398.3285714285713,598.3745195587317,1.293007837808966
"SARIMAX_+AR1_(1,1,1)(0,1,1,7)",0,914,2024-07-02,2024-07-03,2024-07-09,98.12739070657146,128.41471814957714,0.31446029557433897
"SARIMAX_+AR1_(1,1,1)(0,1,1,7)",1,921,2024-07-09,2024-07-10,2024-07-16,218.66262792524756,239.06330572508128,0.703741015756387
"SARIMAX_+AR1_(1,1,1)(0,1,1,7)",2,928,2024-07-16,2024-07-17,2024-07-23,184.36296854047396,243.29866180175,0.5950523876551411
"SARIMAX_+AR1_(1,1,1)(0,1,1,7)",3,935,2024-07-23,2024-07-24,2024-07-30,165.4133416317471,195.819402647634,0.5339939247667816
"SARIMAX_+AR1_(1,1,1)(0,1,1,7)",4,942,2024-07-30,2024-07-31,2024-08-06,366.37763068080454,442.59830313471053,1.1881605552233445
"SARIMAX_+AR1_(1,1,1)(0,1,1,7)",5,949,2024-08-06,2024-08-07,2024-08-13,131.30612034256833,175.0343669925052,0.42525344556967726
"SARIMAX_+AR1_(1,1,1)(0,1,1,7)",6,956,2024-08-13,2024-08-14,2024-08-20,206.8157214419332,223.76851608002636,0.6699947670077263
"SARIMAX_+AR1_(1,1,1)(0,1,1,7)",7,963,2024-08-20,2024-08-21,2024-08-27,179.24473187562376,226.97387177812314,0.5814715554284144
"SARIMAX_+AR1_(1,1,1)(0,1,1,7)",8,970,2024-08-27,2024-08-28,2024-09-03,219.72826678506203,253.7518055595509,0.7129712155939454
